from,to,average,threshold,collusion
Turkey,Iceland,0.42857142857142855,4.804999999999995,FALSE
United Kingdom,Iceland,3.4285714285714284,5,FALSE
Yugoslavia,Iceland,0.5714285714285714,5,FALSE
Greece,Iceland,2.5,5,FALSE
Iceland,Greece,1.1666666666666667,5.285714285714286,FALSE
Iceland,Italy,2.6666666666666665,5.285714285714286,FALSE
Italy,Iceland,2.6666666666666665,5.222222222222222,FALSE
Austria,Malta,6,4.9,TRUE
Belgium,Malta,7,5.1,TRUE
Cyprus,Malta,0.5,5.111111111111111,FALSE
Denmark,Malta,4,5,FALSE
Finland,Malta,0,5,FALSE
France,Malta,1,5,FALSE
Germany,Malta,5,4.9,TRUE
Greece,Malta,4.5,5.125,FALSE
Iceland,Malta,4,5.285714285714286,FALSE
Ireland,Malta,11,5.222222222222222,TRUE
Israel,Malta,0,5.111111111111111,FALSE
Italy,Malta,6.5,5.00555555555555,TRUE
Luxembourg,Malta,11,5.1,TRUE
Malta,Austria,2,7.5,FALSE
Malta,Belgium,0,7.5,FALSE
Malta,Cyprus,6.5,7.5,FALSE
Malta,Denmark,0,7.5,FALSE
Malta,Finland,0,7.5,FALSE
Malta,France,1.5,7.5,FALSE
Malta,Germany,0,7.5,FALSE
Malta,Greece,2.5,7.5,FALSE
Malta,Iceland,0,7.524999999999977,FALSE
Malta,Ireland,8,7.5,TRUE
Malta,Israel,7.5,7.5,FALSE
Malta,Italy,3.5,8,FALSE
Malta,Luxembourg,5,6.5,FALSE
Malta,Norway,0,7.5,FALSE
Malta,Portugal,0,7,FALSE
Malta,Spain,4,7.524999999999977,FALSE
Malta,Sweden,0,7,FALSE
Malta,Switzerland,0,7.5,FALSE
Malta,Turkey,7.5,7.5,FALSE
Malta,United Kingdom,8,7.5,TRUE
Malta,Yugoslavia,2,7,FALSE
Norway,Malta,3,5.104999999999995,FALSE
Portugal,Malta,9.5,5,TRUE
Spain,Malta,9,4.8,TRUE
Sweden,Malta,12,5,TRUE
Switzerland,Malta,5.5,5,TRUE
Turkey,Malta,3.5,5.1,FALSE
United Kingdom,Malta,3.5,4.904999999999996,FALSE
Yugoslavia,Malta,5.5,5,TRUE
Malta,Netherlands,0,8,FALSE
Netherlands,Malta,5,5.25,FALSE
